id_customer,Mobile,Earphone,Watch,Jeans,Shirt
439,0,0,0,1,0
485,0,0,0,1,0
733,0,0,0,0,1
1016,0,0,0,1,0
1192,0,0,0,1,0
1260,0,0,1,0,0
1392,1,0,0,0,0
1525,0,1,0,0,0
1566,0,0,0,0,1
1626,0,1,0,0,0
1668,0,1,0,0,0
1701,1,0,0,0,0
1821,0,1,0,0,0
1902,1,0,0,0,0
2005,1,0,0,0,0
2144,1,0,0,0,0
2166,0,0,1,0,0
2171,0,1,0,0,0
2351,0,0,0,0,1
2363,0,0,0,1,0
2390,0,0,0,0,1
2403,0,1,0,0,0
2487,0,0,0,1,0
2515,1,0,0,0,0
2678,0,0,0,1,0
2856,0,0,0,0,1
2912,0,0,0,0,1
2925,0,1,0,0,0
3128,1,0,0,0,0
3134,1,0,0,0,0
3190,0,0,0,1,0
3234,1,0,0,0,0
3248,0,0,0,1,0
3251,1,0,0,0,0
3377,0,0,0,0,1
3387,1,0,0,0,0
3399,1,0,0,0,0
3538,1,0,0,0,0
3543,1,0,0,0,0
3618,0,0,0,0,1
3634,1,0,0,0,0
3691,0,1,0,0,0
3694,0,0,0,1,0
3753,0,0,0,0,1
3798,0,1,0,0,0
3863,1,0,0,0,0
3953,0,1,0,0,0
3969,0,1,0,0,0
4010,0,1,0,0,0
4056,0,1,0,0,0
4149,0,0,0,1,0
4213,0,0,1,0,0
4218,1,0,0,0,0
4276,0,0,0,1,0
4301,1,0,0,0,0
4381,0,1,0,0,0
4402,0,0,1,0,0
4428,0,0,0,0,1
4480,0,0,0,1,0
4483,0,1,0,0,0
4494,0,0,0,1,0
4544,0,0,1,0,0
4563,0,1,0,0,0
4583,0,0,0,0,1
4589,1,0,0,0,0
4793,0,1,0,0,0
4807,1,0,0,0,0
4892,1,0,0,0,0
4912,0,0,0,1,0
4923,0,0,1,0,0
5028,0,0,0,0,1
5034,0,0,1,0,0
5049,0,1,0,0,0
5054,0,0,0,1,0
5069,0,0,0,1,0
5070,0,1,0,0,0
5087,1,0,0,0,0
5093,0,0,0,1,0
5111,1,0,0,0,0
5118,0,0,0,1,0
5152,0,0,0,0,1
5205,0,1,0,0,0
5215,0,0,0,0,1
5275,0,1,0,0,0
5294,0,0,1,0,0
5300,0,0,0,0,1
5328,1,0,0,0,0
5382,0,0,1,0,0
5456,1,0,0,0,0
5474,0,1,0,0,0
5515,1,0,0,0,0
5533,0,0,0,1,0
5557,0,0,0,1,0
5616,0,0,0,0,1
5623,0,0,0,1,0
5632,0,1,0,0,0
5639,1,0,0,0,0
5650,1,0,0,0,0
5679,0,0,0,0,1
5700,1,0,0,0,0
5711,0,1,0,0,0
5770,0,0,0,1,0
5789,0,0,0,0,1
